plant_id_eia,report_date,fuel_type_code_pudl,fuel_consumed_for_electricity_mmbtu,net_generation_mwh,plant_name_eia,city
75,2001-01-01,oil,333.0,25.0,Hank Nikkels Plant 1,Anchorage
75,2001-02-01,oil,216.0,18.0,Hank Nikkels Plant 1,Anchorage
75,2001-03-01,oil,140.0,12.0,Hank Nikkels Plant 1,Anchorage
75,2001-04-01,oil,181.0,11.0,Hank Nikkels Plant 1,Anchorage
75,2001-05-01,oil,251.0,21.0,Hank Nikkels Plant 1,Anchorage
75,2001-06-01,oil,298.0,26.0,Hank Nikkels Plant 1,Anchorage
75,2001-07-01,oil,269.0,21.0,Hank Nikkels Plant 1,Anchorage
75,2001-08-01,oil,461.0,30.0,Hank Nikkels Plant 1,Anchorage
75,2001-09-01,oil,269.0,21.0,Hank Nikkels Plant 1,Anchorage
75,2001-10-01,oil,175.0,15.0,Hank Nikkels Plant 1,Anchorage
75,2001-11-01,oil,93.0,8.0,Hank Nikkels Plant 1,Anchorage
75,2001-12-01,oil,117.0,10.0,Hank Nikkels Plant 1,Anchorage
75,2001-01-01,gas,9897.0,416.0,Hank Nikkels Plant 1,Anchorage
75,2001-02-01,gas,7999.0,303.0,Hank Nikkels Plant 1,Anchorage
75,2001-03-01,gas,13686.0,474.0,Hank Nikkels Plant 1,Anchorage
75,2001-04-01,gas,12015.0,502.0,Hank Nikkels Plant 1,Anchorage
75,2001-05-01,gas,18562.0,787.0,Hank Nikkels Plant 1,Anchorage
75,2001-06-01,gas,35209.0,1623.0,Hank Nikkels Plant 1,Anchorage
75,2001-07-01,gas,54311.0,2201.0,Hank Nikkels Plant 1,Anchorage
75,2001-08-01,gas,22588.0,847.0,Hank Nikkels Plant 1,Anchorage
75,2001-09-01,gas,81436.0,4532.0,Hank Nikkels Plant 1,Anchorage
75,2001-10-01,gas,76412.0,3848.0,Hank Nikkels Plant 1,Anchorage
75,2001-11-01,gas,76227.0,4358.0,Hank Nikkels Plant 1,Anchorage
75,2001-12-01,gas,56092.0,2757.0,Hank Nikkels Plant 1,Anchorage
77,2001-01-01,hydro,103619.32,10028.0,Eklutna,Palmer
77,2001-02-01,hydro,102813.35,9950.0,Eklutna,Palmer
77,2001-03-01,hydro,119056.83,11522.0,Eklutna,Palmer
77,2001-04-01,hydro,103061.34,9974.0,Eklutna,Palmer
77,2001-05-01,hydro,69520.42,6728.0,Eklutna,Palmer
77,2001-06-01,hydro,159799.85,15465.0,Eklutna,Palmer
77,2001-07-01,hydro,113704.33,11004.0,Eklutna,Palmer
77,2001-08-01,hydro,201762.16,19526.0,Eklutna,Palmer
77,2001-09-01,hydro,172509.44,16695.0,Eklutna,Palmer
77,2001-10-01,hydro,157464.59,15239.0,Eklutna,Palmer
77,2001-11-01,hydro,91767.37,8881.0,Eklutna,Palmer
77,2001-12-01,hydro,116142.92,11240.0,Eklutna,Palmer
96,2001-01-01,gas,1947002.0,188927.0,Beluga,Beluga
96,2001-02-01,gas,1736847.0,155298.0,Beluga,Beluga
96,2001-03-01,gas,1868042.0,167125.0,Beluga,Beluga
96,2001-04-01,gas,1561918.0,153214.0,Beluga,Beluga
96,2001-05-01,gas,1444110.0,146942.0,Beluga,Beluga
96,2001-06-01,gas,1391797.0,127948.0,Beluga,Beluga
96,2001-07-01,gas,1414008.0,131046.0,Beluga,Beluga
96,2001-08-01,gas,1314202.0,120939.0,Beluga,Beluga
96,2001-09-01,gas,1340236.0,167305.0,Beluga,Beluga
96,2001-10-01,gas,1768545.0,146656.0,Beluga,Beluga
96,2001-11-01,gas,1789422.0,164461.0,Beluga,Beluga
96,2001-12-01,gas,1949549.0,189218.0,Beluga,Beluga
6283,2001-01-01,oil,530.0,44.716,Seldovia,Seldovia
6283,2001-02-01,oil,454.0,38.309000000000005,Seldovia,Seldovia
6283,2001-03-01,oil,493.0,41.607,Seldovia,Seldovia
6283,2001-04-01,oil,432.0,36.477000000000004,Seldovia,Seldovia
6283,2001-05-01,oil,424.0,35.773,Seldovia,Seldovia
6283,2001-06-01,oil,429.0,36.158,Seldovia,Seldovia
6283,2001-07-01,oil,451.0,38.014,Seldovia,Seldovia
6283,2001-08-01,oil,448.0,37.789,Seldovia,Seldovia
6283,2001-09-01,oil,529.0,44.636,Seldovia,Seldovia
6283,2001-10-01,oil,508.0,42.858000000000004,Seldovia,Seldovia
6283,2001-11-01,oil,526.0,44.388000000000005,Seldovia,Seldovia
6283,2001-12-01,oil,596.0,50.274,Seldovia,Seldovia
6285,2001-01-01,oil,292.0,25.0,North Pole,North Pole
6285,2001-02-01,oil,344.0,30.0,North Pole,North Pole
6285,2001-03-01,oil,158.0,13.0,North Pole,North Pole
6285,2001-04-01,oil,140.0,12.0,North Pole,North Pole
6285,2001-05-01,oil,216.0,15.0,North Pole,North Pole
6285,2001-06-01,oil,193.0,15.0,North Pole,North Pole
6285,2001-07-01,oil,514.0,40.0,North Pole,North Pole
6285,2001-08-01,oil,70.0,6.0,North Pole,North Pole
6285,2001-09-01,oil,420.0,36.0,North Pole,North Pole
6285,2001-10-01,oil,4390.0,350.0,North Pole,North Pole
6285,2001-11-01,oil,695.0,60.0,North Pole,North Pole
6285,2001-12-01,oil,146.0,12.0,North Pole,North Pole
6285,2001-01-01,oil,448183.0,40637.0,North Pole,North Pole
6285,2001-02-01,oil,403622.0,36439.0,North Pole,North Pole
6285,2001-03-01,oil,660298.0,58132.0,North Pole,North Pole
6285,2001-04-01,oil,608170.0,51568.0,North Pole,North Pole
6285,2001-05-01,oil,587198.0,50656.0,North Pole,North Pole
6285,2001-06-01,oil,421956.0,34251.0,North Pole,North Pole
6285,2001-07-01,oil,407882.0,33420.0,North Pole,North Pole
6285,2001-08-01,oil,411585.0,33298.0,North Pole,North Pole
6285,2001-09-01,oil,418157.0,34606.0,North Pole,North Pole
6285,2001-10-01,oil,720849.0,61070.0,North Pole,North Pole
6285,2001-11-01,oil,808202.0,71035.0,North Pole,North Pole
6285,2001-12-01,oil,829135.0,74202.0,North Pole,North Pole
6286,2001-01-01,oil,111.0,-105.0,Fairbanks,Fairbanks
6286,2001-02-01,oil,152.0,13.0,Fairbanks,Fairbanks
6286,2001-03-01,oil,134.0,1.0,Fairbanks,Fairbanks
6286,2001-04-01,oil,6.0,-63.0,Fairbanks,Fairbanks
6286,2001-05-01,oil,496.0,-42.0,Fairbanks,Fairbanks
6286,2001-06-01,oil,263.0,14.0,Fairbanks,Fairbanks
6286,2001-07-01,oil,263.0,10.0,Fairbanks,Fairbanks
6286,2001-08-01,oil,350.0,29.0,Fairbanks,Fairbanks
6286,2001-09-01,oil,0.0,0.0,Fairbanks,Fairbanks
6286,2001-10-01,oil,47.0,-75.0,Fairbanks,Fairbanks
6286,2001-11-01,oil,0.0,-97.0,Fairbanks,Fairbanks
6286,2001-12-01,oil,88.0,-11.0,Fairbanks,Fairbanks
6286,2001-01-01,oil,0.0,0.0,Fairbanks,Fairbanks
6286,2001-02-01,oil,4125.0,105.0,Fairbanks,Fairbanks
6286,2001-03-01,oil,3844.0,124.0,Fairbanks,Fairbanks
6286,2001-04-01,oil,0.0,0.0,Fairbanks,Fairbanks
6286,2001-05-01,oil,0.0,0.0,Fairbanks,Fairbanks
6286,2001-06-01,oil,3461.0,131.0,Fairbanks,Fairbanks
6286,2001-07-01,oil,6099.0,275.0,Fairbanks,Fairbanks
6286,2001-08-01,oil,3857.0,148.0,Fairbanks,Fairbanks
6286,2001-09-01,oil,134.0,-28.0,Fairbanks,Fairbanks
6286,2001-10-01,oil,0.0,0.0,Fairbanks,Fairbanks
6286,2001-11-01,oil,0.0,0.0,Fairbanks,Fairbanks
6286,2001-12-01,oil,473.0,-102.0,Fairbanks,Fairbanks
6288,2001-01-01,oil,6.0,1.0,Healy,Healy
6288,2001-02-01,oil,0.0,0.0,Healy,Healy
6288,2001-03-01,oil,508.0,40.0,Healy,Healy
6288,2001-04-01,oil,636.0,34.0,Healy,Healy
6288,2001-05-01,oil,0.0,0.0,Healy,Healy
6288,2001-06-01,oil,274.0,25.0,Healy,Healy
6288,2001-07-01,oil,0.0,0.0,Healy,Healy
6288,2001-08-01,oil,350.0,30.0,Healy,Healy
6288,2001-09-01,oil,432.0,37.0,Healy,Healy
6288,2001-10-01,oil,1296.0,65.0,Healy,Healy
6288,2001-11-01,oil,210.0,18.0,Healy,Healy
6288,2001-12-01,oil,590.0,30.0,Healy,Healy
6288,2001-01-01,coal,342200.0,18410.0,Healy,Healy
6288,2001-02-01,coal,301057.0,16529.0,Healy,Healy
6288,2001-03-01,coal,259542.0,13679.0,Healy,Healy
6288,2001-04-01,coal,255010.0,13435.0,Healy,Healy
6288,2001-05-01,coal,321587.0,17122.0,Healy,Healy
6288,2001-06-01,coal,323388.0,16617.0,Healy,Healy
6288,2001-07-01,coal,348781.0,18231.0,Healy,Healy
6288,2001-08-01,coal,351761.0,17962.0,Healy,Healy
6288,2001-09-01,coal,338164.0,16906.0,Healy,Healy
6288,2001-10-01,coal,216475.0,10748.0,Healy,Healy
6288,2001-11-01,coal,335702.0,17440.0,Healy,Healy
6288,2001-12-01,coal,345242.0,16929.0,Healy,Healy
6291,2001-01-01,hydro,0.0,0.0,Cooper Lake,Cooper Landing
6291,2001-02-01,hydro,0.0,0.0,Cooper Lake,Cooper Landing
6291,2001-03-01,hydro,12792.25,1238.0,Cooper Lake,Cooper Landing
6291,2001-04-01,hydro,90610.08,8769.0,Cooper Lake,Cooper Landing
6291,2001-05-01,hydro,76174.88,7372.0,Cooper Lake,Cooper Landing
6291,2001-06-01,hydro,120410.45,11653.0,Cooper Lake,Cooper Landing
6291,2001-07-01,hydro,116039.59,11230.0,Cooper Lake,Cooper Landing
6291,2001-08-01,hydro,57410.15,5556.0,Cooper Lake,Cooper Landing
6291,2001-09-01,hydro,64560.58,6248.0,Cooper Lake,Cooper Landing
6291,2001-10-01,hydro,35070.2,3394.0,Cooper Lake,Cooper Landing
6291,2001-11-01,hydro,0.0,0.0,Cooper Lake,Cooper Landing
6291,2001-12-01,hydro,41197.67,3987.0,Cooper Lake,Cooper Landing
6292,2001-01-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-02-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-03-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-04-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-05-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-06-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-07-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-08-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-09-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-10-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-11-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-12-01,oil,0.0,0.0,Bernice Lake,Nikiski
6292,2001-01-01,gas,299676.0,19750.0,Bernice Lake,Nikiski
6292,2001-02-01,gas,301916.0,20350.0,Bernice Lake,Nikiski
6292,2001-03-01,gas,303787.0,20144.0,Bernice Lake,Nikiski
6292,2001-04-01,gas,187121.0,10932.0,Bernice Lake,Nikiski
6292,2001-05-01,gas,88628.0,5507.0,Bernice Lake,Nikiski
6292,2001-06-01,gas,130397.0,8367.0,Bernice Lake,Nikiski
6292,2001-07-01,gas,64639.0,4294.0,Bernice Lake,Nikiski
6292,2001-08-01,gas,91481.0,5965.0,Bernice Lake,Nikiski
6292,2001-09-01,gas,79469.0,4412.0,Bernice Lake,Nikiski
6292,2001-10-01,gas,32172.0,1809.0,Bernice Lake,Nikiski
6292,2001-11-01,gas,74585.0,5166.0,Bernice Lake,Nikiski
6292,2001-12-01,gas,103927.0,7406.0,Bernice Lake,Nikiski
6293,2001-01-01,oil,0.0,0.0,International,Anchorage
6293,2001-02-01,oil,0.0,0.0,International,Anchorage
6293,2001-03-01,oil,0.0,0.0,International,Anchorage
6293,2001-04-01,oil,0.0,0.0,International,Anchorage
6293,2001-05-01,oil,0.0,0.0,International,Anchorage
6293,2001-06-01,oil,0.0,0.0,International,Anchorage
6293,2001-07-01,oil,0.0,0.0,International,Anchorage
6293,2001-08-01,oil,0.0,0.0,International,Anchorage
6293,2001-09-01,oil,0.0,0.0,International,Anchorage
6293,2001-10-01,oil,0.0,0.0,International,Anchorage
6293,2001-11-01,oil,0.0,0.0,International,Anchorage
6293,2001-12-01,oil,0.0,0.0,International,Anchorage
6293,2001-01-01,gas,2564.0,12.0,International,Anchorage
6293,2001-02-01,gas,5546.0,204.0,International,Anchorage
6293,2001-03-01,gas,6272.0,102.0,International,Anchorage
6293,2001-04-01,gas,4244.0,142.0,International,Anchorage
6293,2001-05-01,gas,4847.0,143.0,International,Anchorage
6293,2001-06-01,gas,5083.0,201.0,International,Anchorage
6293,2001-07-01,gas,7419.0,328.0,International,Anchorage
6293,2001-08-01,gas,4622.0,171.0,International,Anchorage
6293,2001-09-01,gas,4593.0,111.0,International,Anchorage
6293,2001-10-01,gas,7358.0,253.0,International,Anchorage
6293,2001-11-01,gas,4376.0,86.0,International,Anchorage
6293,2001-12-01,gas,7302.0,282.0,International,Anchorage
6559,2001-01-01,oil,181.0,15.0,George M Sullivan,Anchorage
6559,2001-02-01,oil,204.0,15.0,George M Sullivan,Anchorage
6559,2001-03-01,oil,239.0,20.0,George M Sullivan,Anchorage
6559,2001-04-01,oil,111.0,8.0,George M Sullivan,Anchorage
6559,2001-05-01,oil,82.0,7.0,George M Sullivan,Anchorage
