plant_id_eia,plant_name_eia,city,county,latitude,longitude,street_address,zip_code
1,Sand Point,Sand Point,Aleutians East,55.339722,-160.497222,100 Power Plant Way,99661
62,Annex Creek,Juneau,Juneau,58.3176,-134.101,Annex Creek,99801
63,Gold Creek,Juneau,Juneau,58.3107,-134.4174,700 Capital Ave.,99801
64,Lemon Creek,Juneau,Juneau,58.3536,-134.4953,5601 Tonsgard Ct.,99801
65,Salmon Creek 1,Juneau,Juneau,58.3269,-134.4631,2750 Channel Vista Dr.,99801
66,Skagway,Skagway,,59.4545,-135.3131,110 Spring St,99840
69,Haines,Haines,Haines,59.235931,-135.445,241 Dalton St.,99927
70,Swan Lake,Ketchikan,Ketchikan Gateway,,-131.3561,,99901
71,Terror Lake Microgrid,Kodiak,Kodiak Island,57.6861,-152.895,20 miles southwest of Kodiak,99615
75,Hank Nikkels Plant 1,Anchorage,Anchorage,61.2221,-149.8661,821 E. 1st Ave,99501
77,Eklutna,Palmer,Matanuska Susitna,61.475211,-149.1501,Mile 4 Old Glenn Hwy.,99645
78,Snettisham,Juneau,Juneau,58.1415,-133.737,Port Snettisham,99801
79,Aurora Energy LLC,Fairbanks,Fairbanks North Star,64.847743,-147.7351,1206 First Ave.,99701
84,Ketchikan,Ketchikan,Ketchikan Gateway,55.344641,-131.6334,1037 Fair St.,99901
85,S W Bailey,Ketchikan,Ketchikan Gateway,55.357397,-131.6778,3935 Tongass Ave.,99901
90,Snake River,Nome,Nome,64.505331,-165.429384,1226 Port Road,99762
91,Petersburg,Petersburg,Wrangell Petersburg,56.81104,-132.9571,11 S. Nordic Drive,99833
92,Seward,Seward,Kenai Peninsula,60.130922,-149.4417,605 SeaLion Avenue,99664
93,Riley#03a,Sitka,Sitka,57.0516,-135.2297,SMC,99835
95,Wrangell,Wrangell,Wrangell Petersburg,56.460976,-132.3683,1043 Case Ave,99929
96,Beluga,Beluga,Kenai Peninsula,61.1861,-151.0356,Beluga Power Plant,99682
109,Dillingham,Dillingham,Dillingham,59.042914,-157.89,557 Kenny Wren Rd.,99576
313,Green Lake,Sitka,Sitka,56.986284,-135.1228,SMC,99835
390,Solomon Gulch,Valdez,Valdez Cordova,61.0828,-146.3033,1455 Dayville road,99686
406,Tok,Tok,Southeast Fairbanks,63.33552,-142.9856,Milepost 1314 AK Hwy,99780
421,Craig,Craig,,55.47691,-133.1483,401 7th Street,99921
423,Hydaburg,Prince of Wales,,55.204937,-132.8267,105 Hyda Street,99922
789,Orca,Cordova,Valdez Cordova,60.555889,-145.7531,103 Orca Road,99574
6281,Kodiak Microgrid,Kodiak,Kodiak Island,57.789956,-152.39675,615 Sargent St.,99615
6282,Port Lions Microgrid,Port Lions,Kodiak Island,57.864775,-152.4058,20 miles west of Kodiak,99660
6283,Seldovia,Seldovia,Kenai Peninsula,59.439542,-151.713488,270 Winifred Avenue,99663
6285,North Pole,North Pole,Fairbanks North Star,64.7356,-147.3481,1150 H&H Lane,99705
6286,Fairbanks,Fairbanks,Fairbanks North Star,64.854171,-147.7194,758 Illinois Street,99701
6288,Healy,Healy,,63.8542,-148.95,2.5 Mile Healy Spur Road,99743
6291,Cooper Lake,Cooper Landing,Kenai Peninsula,60.392331,-149.6656,Mile 12 Snug Harbor Road,99572
6292,Bernice Lake,Nikiski,Kenai Peninsula,60.6935,-151.3874,53318 Chevron Refinery Road,99635
6293,International,Anchorage,Anchorage,61.168972,-149.911,5601 Electron Dr.,99518
6299,Unalakleet,Unalakleet,,63.876789,-160.9006,186 Main Street,99684
6301,Naknek,Naknek,Bristol Bay,58.730417,-156.7319,1 School Road,99633
6302,Purple Lake,Metlakatla,,55.091263,-131.545,Hatchery Road,99926
6304,Kotzebue Hybrid,Kotzebue,,66.837778,-162.595929,245 4th Street,99752
6305,Glennallen,Glennallen,Valdez Cordova,62.110415,-146.5494,mile post 187 Glenn highway,99588
6306,Valdez,Valdez,Valdez Cordova,61.1303,-146.3647,527 West Egan,99686
6311,Chevak,Chevak,Bethel,61.525297,-165.499444,14 Utility Drive,99563
6314,Emmonak,Emmonak,,62.777694,-164.4864,07 Utility Drive,99581
6319,Hooper Bay,Hooper Bay,Bethel,61.530858,-166.1003,08 Utility Drive,99604
6323,Kiana,Kiana,,66.973889,-160.5053,01 Utility Drive,99749
6329,Mountain Village,,Bethel,62.085569,-163.0783,68 Utility Drive,99632
6330,Noorvik,Noorvik,,66.834519,-160.4958,02 Utility Drive,99763
6333,Nunapitchuk,Nunapitchuk,Bethel,60.89588,-162.453333,09 Utility Drive,99641
6338,St Mary's,,Bethel,62.051525,-163.2658,26 Utility Drive,99658
6339,St Michael,,Nome,,,,99659
6341,Selawik,Selawik,Northwest Arctic,66.606778,-160.1431,03 Utility Drive,99770
6345,Shishmaref,Shishmaref,Nome,66.255072,-165.1108,27 Utility Drive,99772
6348,Togiak,Togiak,Dillingham,59.059744,-160.385,10 Utility Drive,99678
6555,McGrath,McGrath,Yukon Koyukuk,62.95699,-154.219444,,99627
6559,George M Sullivan,Anchorage,Anchorage,61.229713,-149.7167,,99504
6566,Bethel,Bethel,Bethel,60.7897,-161.7878,1340 Kwethluk Lane,99559
6580,Beaver Falls,Ketchikan,Ketchikan Gateway,55.37975,-131.4703,13110 S. Tongass Ave.,99901
6581,Silvis,Ketchikan,Ketchikan Gateway,55.381402,-131.5178,"(unnamed mtn road, remote)",99901
6637,Yakutat,Yakutat,,59.544553,-139.725,#1 Forest Hwy.,99689
6702,Pelican,Pelican,,57.957197,-136.2201,1120 Salmon Way,99832
6801,Indian River,Sitka,,57.0497,-135.3128,103 Jarvis Street,99835
7042,Humpback Creek,Cordova,Valdez Cordova,60.612822,-145.6794,Orca Inlet-Mile .05 Hmpbck Crk,99574
7112,Centennial,Metlakatla,,55.121433,-131.5603,Walden Point Road,99926
7168,Chester Lake,Metlakatla,,55.116879,-131.5459,Walden Point Road,99926
7169,Northway,Tok,Southeast Fairbanks,62.9617,-141.9372,Milepost 1314 AK Hwy,99764
7173,Barrow,Barrow,North Slope,71.292,-156.7786,1295 Agvik Street,99723
