plant_id_eia,plant_name_eia,city
75,Hank Nikkels Plant 1,Anchorage
77,Eklutna,Palmer
79,Aurora Energy LLC,Fairbanks
92,Seward,Seward
96,Beluga,Beluga
6283,Seldovia,Seldovia
6285,North Pole,North Pole
6286,Fairbanks,Fairbanks
6291,Cooper Lake,Cooper Landing
6292,Bernice Lake,Nikiski
6293,International,Anchorage
6559,George M Sullivan,Anchorage
7367,Bradley Lake,Homer
7506,Healy Lake,Healy Lake
7785,Healy Clean Coal,Healy
50308,Utility Plants Section,Fort Wainwright
50392,Eielson Air Force Base Central,Eielson AFB
50711,University of Alaska Fairbanks,Fairbanks
52184,Tesoro Alaska Petroleum,Kenai
54436,Monopod Platform,
54437,Dillon Platform,
54438,Granite Point Platform,
54439,Bruce Platform,
54440,Anna Platform,
54442,Baker Platform,
54444,Grayling Platform,
54452,Agrium Kenai Nitrogen Op,Kenai
55966,Nikiski Combined Cycle,Nikiski
55982,Chena 6 Turbine,Fairbanks
57036,Southcentral Power Plant,Anchorage
57206,Soldotna,Soldotna
57583,Battery Energy Storage System,Fairbanks
57935,Eva Creek Wind,Healy
58380,JBER Landfill Gas Power Plant,Anchorage
58425,Fire Island Wind,Anchorage
58511,Delta Wind Farm,Delta Junction
58989,Eklutna Generation Station,Chugiak
6288,Healy,Healy
